noname,Кубинка II,ж/д станция, ж/д станция Кубинка II,55.6010933,36.7272204
noname,Берники,ж/д станция, ж/д станция Берники,54.288909,37.2473001
noname,Чекалин,ж/д станция, ж/д станция Чекалин,54.0924199,36.246824
noname,Дабужа,ж/д станция, ж/д станция Дабужа,54.22166,34.8158909
noname,Спас-Деменск,ж/д станция, ж/д станция Спас-Деменск,54.412939,34.033971
noname,Кудринская,ж/д станция, ж/д станция Кудринская,,
noname,Брянск-Орловский,ж/д станция, ж/д станция Брянск-Орловский,53.262231,34.4059795
noname,Сельцо,ж/д станция, ж/д станция Сельцо,53.3692137,34.0944659
noname,18 км,ж/д станция, ж/д станция 18 км,,
noname,Погорелое Городище,ж/д станция, ж/д станция Погорелое Городище,56.125519,34.917682
noname,Высокое,ж/д станция, ж/д станция Высокое,,
noname,Криволучье,ж/д станция, ж/д станция Криволучье,54.1825357,37.6959456
noname,Бирюлёво-Товарная,ж/д станция, ж/д станция Бирюлёво-Товарная,55.5933349,37.653714
noname,Космос,ж/д станция, ж/д станция Космос,55.42905,37.880884
noname,Зелёный бор,ж/д станция, ж/д станция Зелёный бор,,
noname,Александров,ж/д станция, ж/д станция Александров,56.398175,38.705018
noname,Струнино,ж/д станция, ж/д станция Струнино,56.3787943,38.5875041
noname,Ладыгино,ж/д станция, ж/д станция Ладыгино,,
noname,Савино,ж/д станция, ж/д станция Савино,,
noname,Талдом-Савёловский,ж/д станция, ж/д станция Талдом-Савёловский,,
noname,Черничная,ж/д станция, ж/д станция Черничная,56.500927,36.5044361
noname,Ясногорск,ж/д станция, ж/д станция Ясногорск,54.47889,37.68532
noname,Приокская,ж/д станция, ж/д станция Приокская,54.829472,37.37351
noname,Александров-2,ж/д станция, ж/д станция Александров-2,56.372059,38.69096
noname,Казановка,ж/д станция, ж/д станция Казановка,53.1891902,90.0977512
noname,Подлипки,ж/д станция, ж/д станция Подлипки,55.9253236,37.81618
noname,Чемодановка,ж/д станция, ж/д станция Чемодановка,54.08574,39.985253
noname,Желобово,ж/д станция, ж/д станция Желобово,53.688987,40.7280896
noname,Подписная,ж/д станция, ж/д станция Подписная,,
noname,Бредихино,ж/д станция, ж/д станция Бредихино,,
noname,Терешкино,ж/д станция, ж/д станция Терешкино,,
noname,Лихославль,ж/д станция, ж/д станция Лихославль,57.1269697,35.4650032
noname,Юность,ж/д станция, ж/д станция Юность,,
noname,Мордвес,ж/д станция, ж/д станция Мордвес,54.660294,38.21208
noname,Издешково,ж/д станция, ж/д станция Издешково,55.14128,33.6212301
noname,Соревнование,ж/д станция, ж/д станция Соревнование,,
noname,341 км,ж/д станция, ж/д станция 341 км,,
noname,Сахареж,ж/д станция, ж/д станция Сахареж,57.4445024,40.4241015
noname,Телищево,ж/д станция, ж/д станция Телищево,57.6006794,39.8721211
noname,Толстопальцево,ж/д станция, ж/д станция Толстопальцево,55.607571,37.1860771
noname,Костерёво,ж/д станция, ж/д станция Костерёво,55.9294942,39.6198338
noname,Москва-Товарная-Курская,ж/д станция, ж/д станция Москва-Товарная-Курская,55.7454067,37.6889112
noname,Скакулино,ж/д станция, ж/д станция Скакулино,56.86,33.345
noname,Селижарово,ж/д станция, ж/д станция Селижарово,56.8581,33.4654
noname,Щербово,ж/д станция, ж/д станция Щербово,57.0193001,34.6034
noname,Берендино,ж/д станция, ж/д станция Берендино,55.40979,38.8093221
noname,Сухиничи-Главные,ж/д станция, ж/д станция Сухиничи-Главные,54.0873009,35.3176485
noname,Ундол,ж/д станция, ж/д станция Ундол,56.020135,39.9835979
noname,Москва-Пассажирская-Ярославская,ж/д станция, ж/д станция Москва-Пассажирская-Ярославская,55.7767911,37.6572732
noname,Тощиха,ж/д станция, ж/д станция Тощиха,57.473241,40.2114401
noname,Мценск,ж/д станция, ж/д станция Мценск,53.293529,36.565874
noname,Захарово,ж/д станция, ж/д станция Захарово,55.872774,38.46777
noname,Сборная-Угольная,ж/д станция, ж/д станция Сборная-Угольная,53.9914561,38.2960298
noname,Промгипсовая,грузовая, грузовая Промгипсовая,,
noname,Тарусская,ж/д станция, ж/д станция Тарусская,54.7349231,37.4001281
noname,Ковров 1,ж/д станция, ж/д станция Ковров 1,56.3691375,41.3042458
noname,Ожерелье,ж/д станция, ж/д станция Ожерелье,54.80154,38.27291
noname,Кашира-Пассажирская,ж/д станция, ж/д станция Кашира-Пассажирская,,
noname,Щёкино,ж/д станция, ж/д станция Щёкино,54.0100724,37.5003515
noname,Дунайка,ж/д станция, ж/д станция Дунайка,,
noname,Хомяково,ж/д станция, ж/д станция Хомяково,54.29442,37.6102411
noname,Ревякино,ж/д станция, ж/д станция Ревякино,54.365408,37.66397
noname,Малаховская,ж/д станция, ж/д станция Малаховская,,
noname,Красинское,ж/д станция, ж/д станция Красинское,,
noname,Судогда,ж/д станция, ж/д станция Судогда,55.951057,40.8600241
noname,Нерудная,ж/д станция, ж/д станция Нерудная,,
noname,6 км,ж/д станция, ж/д станция 6 км,59.792836,31.027947
